PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40153835,Healthcare resource utilization for the management of neonatal head shape deformities: a propensity-matched analysis of AI-assisted and conventional approaches.,2025Mar28,N/A,N/A,N/A
40152984,Deep learning-based prediction of cervical canal stenosis from mid-sagittal T2-weighted MRI.,2025Mar28,N/A,N/A,"Healthcare AI Research Institute, Seoul National University Hospital, 101, Daehak-Ro, Jongno-Gu, Seoul, 03080, Republic of Korea. hmkhm@snu.ac.kr."
40152893,Multichannel Contribution Aware Network for Prostate Cancer Grading in Histopathology Images.,2025Mar28,N/A,N/A,N/A
40152815,Transforming retinal disease management through diabetes care.,2025Apr,N/A,N/A,N/A
40152795,"Group-based trajectory modeling to identify longitudinal patterns and predictors of adherence among older adults on concomitant triple therapy (oral antidiabetic, renin-angiotensin-system antagonists, statins).",2025Apr,"Cheruvu, Fatima, Abughosh","Pharmaceutical Health Outcomes and Policy, University of Houston, TX., Pharmaceutical Health Outcomes and Policy, University of Houston, TX., Pharmaceutical Health Outcomes and Policy, University of Houston, TX.",N/A
40152794,Health care resource utilization and direct costs incurred over 12 months by patients with migraine initiating self-injectable calcitonin gene-related peptide monoclonal antibodies: A US real-world study.,2025Apr,N/A,N/A,N/A
40152733,Artificial Intelligence in Cardiac Rehabilitation: Assessing ChatGPT's Knowledge and Clinical Scenario Responses.,2025Apr,Geneş,"Department of Cardiology, Sincan Training and Research Hospital, Ankara, Türkiye.",N/A
40152140,Predicting postoperative chronic opioid use with fair machine learning models integrating multi-modal data sources: a demonstration of ethical machine learning in healthcare.,2025Mar27,N/A,N/A,N/A
40152109,Algorithm-Driven Initiation and Adaptation of Hybrid Closed-Loop in Young Children with Type 1 Diabetes: A Pilot Study.,2025Mar28,N/A,N/A,N/A
40152019,Establishing Artificial Intelligence-Powered Virtual Tumor Board Meetings in Pakistan.,2025Jan-Dec,N/A,N/A,N/A
